time_s,env_id,base_x_m,pitch_rad,pitch_rate_rad_s,margin_m,fsm_phase,action_l2,reward,roll_rad,fl_contact_state,fr_contact_state,rl_contact_state,rr_contact_state,fl_contact_force_n,fr_contact_force_n,rl_contact_force_n,rr_contact_force_n,fl_wheel_x_m,fl_wheel_z_m,fr_wheel_x_m,fr_wheel_z_m,rl_wheel_x_m,rl_wheel_z_m,rr_wheel_x_m,rr_wheel_z_m,reference_00,reference_01,reference_02,reference_03,reference_04,reference_05,reference_06,reference_07,reference_08,reference_09,reference_10,reference_11
48.25,0,0.5179581046104431,-0.024587176740169525,-0.05498777702450752,0.32713568210601807,4.0,0.0,0.45871874690055847,0.11990220099687576,3,3,1,1,0.0,12.494863510131836,13.86018180847168,2.0127010345458984,0.8154536485671997,0.10594034194946289,0.9043821096420288,0.10185368359088898,0.20412595570087433,0.04871322959661484,0.17649345099925995,0.0514700673520565,22.799999237060547,-1.7999999523162842,20.100000381469727,31.399999618530273,0.699999988079071,0.0,20.100000381469727,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
48.3,0,0.5187987685203552,-0.024458320811390877,-0.04845636337995529,0.3271943926811218,4.0,0.0,0.45697247982025146,0.11942171305418015,3,3,1,1,0.0,12.515356063842773,13.975975036621094,2.0271036624908447,0.8162994980812073,0.10571175813674927,0.9052128195762634,0.10179543495178223,0.2049667239189148,0.048562344163656235,0.17727673053741455,0.05153649300336838,22.799999237060547,-1.7999999523162842,20.100000381469727,31.399999618530273,0.699999988079071,0.0,20.100000381469727,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
48.35,0,0.5196576714515686,-0.024279985576868057,-0.04390107840299606,0.3272631764411926,4.0,0.0,0.4567416310310364,0.11889183521270752,3,3,1,1,0.0,12.70180606842041,14.22115707397461,2.0552732944488525,0.8171659111976624,0.10543996840715408,0.9060580134391785,0.10172112286090851,0.20582790672779083,0.04839741066098213,0.17806845903396606,0.051617205142974854,22.799999237060547,-1.7999999523162842,20.100000381469727,31.399999618530273,0.699999988079071,0.0,20.100000381469727,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
48.4,0,0.5205349326133728,-0.024111419916152954,-0.049622248858213425,0.2995128035545349,4.0,0.0,0.45694053173065186,0.11832195520401001,3,3,1,1,0.0,12.737028121948242,14.103472709655762,1.919968843460083,0.8180501461029053,0.10515003651380539,0.9069207906723022,0.10163045674562454,0.20669792592525482,0.048212699592113495,0.17887799441814423,0.05169142037630081,22.799999237060547,-1.7999999523162842,20.100000381469727,31.399999618530273,0.699999988079071,0.0,20.100000381469727,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
48.45,0,0.5214246511459351,-0.023942865431308746,-0.049690764397382736,0.2995208501815796,4.0,0.0,0.45688101649284363,0.11775419861078262,3,3,1,1,0.0,12.803912162780762,14.13692855834961,1.9216396808624268,0.8189463019371033,0.10484007000923157,0.9077967405319214,0.10152328759431839,0.20758110284805298,0.04800938442349434,0.1796933114528656,0.05175112932920456,22.799999237060547,-1.7999999523162842,20.100000381469727,31.399999618530273,0.699999988079071,0.0,20.100000381469727,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
48.5,0,0.5222397446632385,-0.023695506155490875,-0.03954065218567848,0.3274412155151367,4.0,0.0,0.46550676226615906,0.11742006242275238,3,3,1,1,0.0,12.6918363571167,14.521672248840332,2.199216365814209,0.8197676539421082,0.10458652675151825,0.9086471199989319,0.1014406830072403,0.20837245881557465,0.04792268946766853,0.18049150705337524,0.051799025386571884,22.799999237060547,-1.7999999523162842,20.100000381469727,31.399999618530273,0.699999988079071,0.0,20.100000381469727,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
48.55,0,0.5227500200271606,-0.023466063663363457,-0.04168851301074028,0.3273235559463501,4.0,0.0,0.46432197093963623,0.11759299784898758,3,3,1,1,0.0,12.099020004272461,13.964599609375,2.5977766513824463,0.8202785849571228,0.10460367798805237,0.9092662334442139,0.10152645409107208,0.20894090831279755,0.04801547899842262,0.1811596155166626,0.05183602496981621,22.799999237060547,-1.7999999523162842,20.100000381469727,31.399999618530273,0.699999988079071,0.0,20.100000381469727,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
48.6,0,0.5233312845230103,-0.023325547575950623,-0.04468029364943504,0.3272383213043213,4.0,0.0,0.46237221360206604,0.11767811328172684,3,3,1,1,0.0,12.022957801818848,13.864703178405762,2.5733158588409424,0.8208605647087097,0.10462328791618347,0.9099149107933044,0.10160131752490997,0.20953421294689178,0.04810415953397751,0.18184982240200043,0.05186442658305168,22.799999237060547,-1.7999999523162842,20.100000381469727,31.399999618530273,0.699999988079071,0.0,20.100000381469727,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
48.65,0,0.5239509344100952,-0.023258619010448456,-0.0451519601047039,0.3271760940551758,4.0,0.0,0.4620368480682373,0.11774313449859619,3,3,1,1,0.0,12.199538230895996,14.073533058166504,2.5148932933807373,0.821479082107544,0.10466510057449341,0.9105760455131531,0.1016702651977539,0.21014179289340973,0.048192091286182404,0.18254537880420685,0.05188257247209549,22.799999237060547,-1.7999999523162842,20.100000381469727,31.399999618530273,0.699999988079071,0.0,20.100000381469727,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
48.7,0,0.5246008038520813,-0.023244082927703857,-0.048156484961509705,0.32713568210601807,4.0,0.0,0.4627801775932312,0.11781907081604004,3,3,1,1,0.0,12.189458847045898,13.929422378540039,2.481264352798462,0.8221277594566345,0.10472019761800766,0.9112525582313538,0.10173100978136063,0.21077027916908264,0.048273418098688126,0.18324144184589386,0.051892444491386414,22.799999237060547,-1.7999999523162842,20.100000381469727,31.399999618530273,0.699999988079071,0.0,20.100000381469727,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
48.75,0,0.5252611637115479,-0.023256534710526466,-0.04561615735292435,0.3270984888076782,4.0,0.0,0.4613177180290222,0.11789986491203308,3,3,1,1,0.0,12.183490753173828,13.903335571289062,2.532165765762329,0.8227857947349548,0.10478249192237854,0.9119344353675842,0.10178318619728088,0.2114073634147644,0.04834803566336632,0.1839429885149002,0.05189184471964836,22.799999237060547,-1.7999999523162842,20.100000381469727,31.399999618530273,0.699999988079071,0.0,20.100000381469727,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
48.8,0,0.5259406566619873,-0.02327607199549675,-0.04593139886856079,0.32707181572914124,4.0,0.0,0.46101605892181396,0.11801914125680923,3,3,1,1,0.0,12.370729446411133,14.153154373168945,2.291917562484741,0.8234643936157227,0.10484536737203598,0.9126261472702026,0.10182710736989975,0.21206697821617126,0.04841615632176399,0.184649258852005,0.05188062787055969,22.799999237060547,-1.7999999523162842,20.100000381469727,31.399999618530273,0.699999988079071,0.0,20.100000381469727,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
