time_s,event_cursor,step_index,event_index,command,front_left_hip,front_left_knee,front_right_hip,front_right_knee,rear_left_hip,rear_left_knee,rear_right_hip,rear_right_knee,front_left_ankle,front_right_ankle,rear_left_ankle,rear_right_ankle
133.85800000000745,78,19,0,servo rear_left_hip -4.8,24.2,23.1,13.2,0.9,-4.8,0.0,0.7,0.0,0.0,0.0,0.0,0.0
133.9210000000894,79,19,1,servo rear_left_hip -6.2,24.2,23.1,13.2,0.9,-6.2,0.0,0.7,0.0,0.0,0.0,0.0,0.0
134.1710000000894,80,19,2,servo rear_left_hip -10.4,24.2,23.1,13.2,0.9,-10.4,0.0,0.7,0.0,0.0,0.0,0.0,0.0
134.23300000000745,81,19,3,servo rear_left_hip -11.8,24.2,23.1,13.2,0.9,-11.8,0.0,0.7,0.0,0.0,0.0,0.0,0.0
134.73300000000745,82,19,4,servo rear_left_hip -6.2,24.2,23.1,13.2,0.9,-6.2,0.0,0.7,0.0,0.0,0.0,0.0,0.0
134.7960000000894,83,19,5,servo rear_left_hip -4.8,24.2,23.1,13.2,0.9,-4.8,0.0,0.7,0.0,0.0,0.0,0.0,0.0
134.85800000000745,84,19,6,servo rear_left_hip 0.7,24.2,23.1,13.2,0.9,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0
134.9670000001788,85,19,7,servo rear_left_hip 2.1,24.2,23.1,13.2,0.9,2.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0
135.12400000006892,86,19,8,servo rear_left_hip 7.6,24.2,23.1,13.2,0.9,7.6,0.0,0.7,0.0,0.0,0.0,0.0,0.0
135.4210000000894,87,19,9,servo rear_left_hip 15.9,24.2,23.1,13.2,0.9,15.9,0.0,0.7,0.0,0.0,0.0,0.0,0.0
135.49900000006892,88,19,10,servo rear_left_hip 17.3,24.2,23.1,13.2,0.9,17.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0
135.6710000000894,89,19,11,servo rear_left_hip 21.5,24.2,23.1,13.2,0.9,21.5,0.0,0.7,0.0,0.0,0.0,0.0,0.0
135.74900000006892,90,19,12,servo rear_left_hip 22.8,24.2,23.1,13.2,0.9,22.8,0.0,0.7,0.0,0.0,0.0,0.0,0.0
136.03000000002794,91,19,13,servo rear_left_hip 24.2,24.2,23.1,13.2,0.9,24.2,0.0,0.7,0.0,0.0,0.0,0.0,0.0
141.62400000006892,92,20,0,servo rear_right_hip 2.1,24.2,23.1,13.2,0.9,24.2,0.0,2.1,0.0,0.0,0.0,0.0,0.0
141.7170000001788,93,20,1,servo rear_right_hip 21.5,24.2,23.1,13.2,0.9,24.2,0.0,21.5,0.0,0.0,0.0,0.0,0.0
141.90500000002794,94,20,2,servo rear_right_hip 29.8,24.2,23.1,13.2,0.9,24.2,0.0,29.8,0.0,0.0,0.0,0.0,0.0
143.2960000000894,95,20,3,servo rear_right_knee -18.5,24.2,23.1,13.2,0.9,24.2,0.0,29.8,-18.5,0.0,0.0,0.0,0.0
143.3890000001993,96,20,4,servo rear_right_knee -44.8,24.2,23.1,13.2,0.9,24.2,0.0,29.8,-44.8,0.0,0.0,0.0,0.0
143.43599999998696,97,20,5,servo rear_right_knee -60,24.2,23.1,13.2,0.9,24.2,0.0,29.8,-60.0,0.0,0.0,0.0,0.0
144.12400000006892,98,20,6,servo rear_right_knee -57.2,24.2,23.1,13.2,0.9,24.2,0.0,29.8,-57.2,0.0,0.0,0.0,0.0
144.65500000002794,99,20,7,servo rear_right_knee -48.9,24.2,23.1,13.2,0.9,24.2,0.0,29.8,-48.9,0.0,0.0,0.0,0.0
144.7170000001788,100,20,8,servo rear_right_knee -44.8,24.2,23.1,13.2,0.9,24.2,0.0,29.8,-44.8,0.0,0.0,0.0,0.0
150.51500000013039,101,21,0,wheel all 0.3,24.2,23.1,13.2,0.9,24.2,0.0,29.8,-44.8,0.3,0.3,0.3,0.3
167.2960000000894,102,21,1,wheel stop,24.2,23.1,13.2,0.9,24.2,0.0,29.8,-44.8,0.0,0.0,0.0,0.0
169.5460000000894,103,22,0,servo_wheel launch,24.2,3.7,13.2,0.9,24.2,12.0,29.8,-44.8,-2.09,0.0,-1.14,0.0
