time_s,env_id,base_x_m,pitch_rad,pitch_rate_rad_s,margin_m,fsm_phase,action_l2,reward,roll_rad,fl_contact_state,fr_contact_state,rl_contact_state,rr_contact_state,fl_contact_force_n,fr_contact_force_n,rl_contact_force_n,rr_contact_force_n,fl_contact_upward_force_n,fr_contact_upward_force_n,rl_contact_upward_force_n,rr_contact_upward_force_n,fl_full_wheel_on_top,fr_full_wheel_on_top,rl_full_wheel_on_top,rr_full_wheel_on_top,all_wheels_on_top,support_score,fl_wheel_y_m,fr_wheel_y_m,rl_wheel_y_m,rr_wheel_y_m,fl_wheel_x_m,fl_wheel_z_m,fr_wheel_x_m,fr_wheel_z_m,rl_wheel_x_m,rl_wheel_z_m,rr_wheel_x_m,rr_wheel_z_m,fl_load_trim_z_m,fr_load_trim_z_m,fl_unload_trim_m,fr_unload_trim_m,rl_unload_trim_m,rr_unload_trim_m,reference_00,reference_01,reference_02,reference_03,reference_04,reference_05,reference_06,reference_07,reference_08,reference_09,reference_10,reference_11
1.95,0,0.04180057346820831,-0.011518066748976707,0.03336961939930916,0.2816374897956848,1.0,0.7059963941574097,-0.016098586842417717,0.01854102686047554,1,1,1,1,0.48404788970947266,13.79666805267334,14.414814949035645,0.0,0.48404788970947266,13.79666805267334,14.414814949035645,0.0,0,0,0,0,0,0.9999926090240479,0.07994942367076874,-0.3184479773044586,0.07797132432460785,-0.3185301125049591,0.2953585684299469,0.04996210336685181,0.29867830872535706,0.05034695938229561,-0.267804890871048,0.04992293193936348,-0.26123136281967163,0.05507060885429382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
2.0,0,0.04261380434036255,-0.011482881382107735,0.03536985069513321,0.28158438205718994,1.0,0.7104190587997437,-0.017298411577939987,0.0185281690210104,1,1,1,1,0.5232686400413513,13.879326820373535,14.28966999053955,0.0,0.5232686400413513,13.879326820373535,14.28966999053955,0.0,0,0,0,0,0,0.9999925494194031,0.07994582504034042,-0.3184511661529541,0.07796938717365265,-0.31853199005126953,0.29615384340286255,0.04996428266167641,0.29943549633026123,0.050342340022325516,-0.26699233055114746,0.04994833841919899,-0.26042088866233826,0.05510216951370239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
2.05,0,0.04343754053115845,-0.011433806270360947,0.034985318779945374,0.28153300285339355,1.0,0.7096874713897705,-0.01731366105377674,0.018445413559675217,1,1,1,1,0.5638366937637329,13.91930103302002,14.265233039855957,0.0,0.5638366937637329,13.91930103302002,14.265233039855957,0.0,0,0,0,0,0,0.9999926090240479,0.07994647324085236,-0.3184494972229004,0.07796955108642578,-0.31853124499320984,0.29696789383888245,0.04995497688651085,0.3002075254917145,0.05032658949494362,-0.2661662995815277,0.04995927959680557,-0.2595967948436737,0.05513911694288254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
2.1,0,0.0442730188369751,-0.011350217275321484,0.03697934374213219,0.28147992491722107,1.0,0.7118831872940063,-0.017794214189052582,0.018348490819334984,1,1,1,1,0.611555278301239,13.83010482788086,14.236478805541992,0.0,0.611555278301239,13.83010482788086,14.236478805541992,0.0,0,0,0,0,0,0.9999926090240479,0.07994535565376282,-0.31844961643218994,0.07796318829059601,-0.3185374438762665,0.2977966070175171,0.04993055760860443,0.3009936213493347,0.050298966467380524,-0.26532912254333496,0.04995540902018547,-0.2587544322013855,0.05519116669893265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
2.15,0,0.04513077437877655,-0.011266767047345638,0.03465970978140831,0.2814237177371979,1.0,0.7125862836837769,-0.0180987436324358,0.018260899931192398,1,1,1,1,0.6865521669387817,13.895703315734863,14.151264190673828,0.0,0.6865521669387817,13.895703315734863,14.151264190673828,0.0,0,0,0,0,0,0.9999925494194031,0.07994610071182251,-0.318448007106781,0.07796356081962585,-0.3185369372367859,0.2986343801021576,0.04989142343401909,0.3017962574958801,0.050256576389074326,-0.2644733488559723,0.04993753507733345,-0.25789421796798706,0.05522848293185234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
2.2,0,0.046000439673662186,-0.011198587715625763,0.03491979464888573,0.28136885166168213,1.0,0.7138581871986389,-0.018011825159192085,0.018190935254096985,1,1,1,1,0.7301796078681946,13.8849458694458,14.110669136047363,0.0,0.7301796078681946,13.8849458694458,14.110669136047363,0.0,0,0,0,0,0,0.9999924898147583,0.07994738221168518,-0.3184458911418915,0.07795725762844086,-0.3185431957244873,0.2994782328605652,0.04983850196003914,0.30261194705963135,0.05019950494170189,-0.2636072337627411,0.04990440234541893,-0.25701969861984253,0.05524169281125069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
2.25,0,0.04688435047864914,-0.011132008396089077,0.035510580986738205,0.2813216745853424,1.0,0.7159914970397949,-0.01871519349515438,0.01814989373087883,1,1,1,1,0.7601513862609863,13.875502586364746,14.098392486572266,0.0,0.7601513862609863,13.875502586364746,14.098392486572266,0.0,0,0,0,0,0,0.9999924898147583,0.07994332164525986,-0.3184494972229004,0.07795539498329163,-0.3185453712940216,0.3003312647342682,0.04977040737867355,0.3034476637840271,0.05012711137533188,-0.2627262771129608,0.04985596239566803,-0.2561357319355011,0.05523541569709778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
2.3,0,0.04779435694217682,-0.011062844656407833,0.035502687096595764,0.28127726912498474,1.0,0.7182421088218689,-0.018908411264419556,0.018141474574804306,1,1,1,1,0.7791355848312378,13.919748306274414,14.0287446975708,0.0,0.7791355848312378,13.919748306274414,14.0287446975708,0.0,0,0,0,0,0,0.9999923706054688,0.07993713021278381,-0.3184555470943451,0.07795204222202301,-0.31854957342147827,0.3011915683746338,0.04968520253896713,0.3043104112148285,0.05003930255770683,-0.2618275284767151,0.049789343029260635,-0.2552291452884674,0.05521779879927635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
2.35,0,0.04871046915650368,-0.01102569978684187,0.034236643463373184,0.2812408208847046,1.0,0.7157412767410278,-0.01852305978536606,0.018150238320231438,1,1,1,1,0.8717149496078491,13.895454406738281,13.979710578918457,0.0,0.8717149496078491,13.895454406738281,13.979710578918457,0.0,0,0,0,0,0,0.9999922513961792,0.07993149012327194,-0.31846123933792114,0.07794245332479477,-0.31855958700180054,0.3020574152469635,0.04958486557006836,0.30518707633018494,0.04993490129709244,-0.260919988155365,0.049705758690834045,-0.2543093264102936,0.055153872817754745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
2.4,0,0.04957147687673569,-0.010986012406647205,0.038641225546598434,0.28119999170303345,1.0,0.7057300806045532,-0.013041128404438496,0.017981134355068207,1,1,1,1,0.3786022365093231,14.050455093383789,14.373007774353027,0.0,0.3786022365093231,14.050455093383789,14.373007774353027,0.0,0,0,0,0,0,0.9999923706054688,0.07993283867835999,-0.3184601366519928,0.07794733345508575,-0.31855422258377075,0.3029044568538666,0.0494714230298996,0.30600881576538086,0.049908511340618134,-0.2600226104259491,0.04960556700825691,-0.253441721200943,0.05514869838953018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
