run,event_file,tag,points,first,last,minimum,maximum,tail_mean
s11-100mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-100mm_attempt002\events.out.tfevents.1785446362.Allenzjx.99180.0,Loss / Policy loss,1200,-0.05923990160226822,-0.002559992717579007,-0.17852461338043213,0.06017369031906128,-0.00034951242320554836
s11-100mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-100mm_attempt002\events.out.tfevents.1785446362.Allenzjx.99180.0,Loss / Value loss,1200,0.0003218956699129194,0.04625117778778076,3.9217849234773894e-7,0.21833951771259308,0.0043702467111870645
s11-100mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-100mm_attempt002\events.out.tfevents.1785446362.Allenzjx.99180.0,Policy / Standard deviation,1200,0.017350150272250175,0.017230866476893425,0.01723029837012291,0.017350150272250175,0.017234998910377424
s11-100mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-100mm_attempt002\events.out.tfevents.1785446362.Allenzjx.99180.0,Learning / Learning rate,1200,0.000059259258705424145,0.00002633744770719204,0.00001170553241536254,0.0003000000142492354,0.00009403635099261009
s11-100mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-100mm_attempt002\events.out.tfevents.1785446362.Allenzjx.99180.0,Stats / Algorithm update time (ms),1200,88.54842376708984,99.23362731933594,15.500545501708984,220.16787719726562,39.5451207002004
s11-100mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-100mm_attempt002\events.out.tfevents.1785446362.Allenzjx.99180.0,Reward / Total reward (max),367,-206.00819396972656,23.297536849975586,-217.1885223388672,223.63099670410156,11.08428308698866
s11-100mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-100mm_attempt002\events.out.tfevents.1785446362.Allenzjx.99180.0,Reward / Total reward (min),367,-206.00819396972656,-216.25083923339844,-217.1885223388672,219.9283905029297,-23.92490561803182
s11-100mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-100mm_attempt002\events.out.tfevents.1785446362.Allenzjx.99180.0,Reward / Total reward (mean),367,-206.00819396972656,-96.47665405273438,-217.1885223388672,219.9283905029297,-5.81179412206014
s11-100mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-100mm_attempt002\events.out.tfevents.1785446362.Allenzjx.99180.0,Episode / Total timesteps (max),367,6534,8999,6451,8999,7635.583333333333
s11-100mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-100mm_attempt002\events.out.tfevents.1785446362.Allenzjx.99180.0,Episode / Total timesteps (min),367,6534,6778,6451,8999,7456.166666666667
s11-100mm,runs\ppo_without_com\training\method-B-v34_seed-11_stage-100mm_attempt002\events.out.tfevents.1785446362.Allenzjx.99180.0,Episode / Total timesteps (mean),367,6534,7888.5,6451,8999,7553.7328694661455
s29-50mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-50mm_attempt002\events.out.tfevents.1785457773.Allenzjx.94332.0,Stats / Inference time (ms),1200,1.5158653259277344,1.684918999671936,1.2564361095428467,2.031233072280884,1.6201700091362
s29-50mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-50mm_attempt002\events.out.tfevents.1785457773.Allenzjx.94332.0,Stats / Env stepping time (ms),1200,120.46791076660156,135.74313354492188,107.55802154541016,156.9371795654297,132.9470432917277
s29-50mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-50mm_attempt002\events.out.tfevents.1785457773.Allenzjx.94332.0,Reward / Instantaneous reward (max),1200,0.02181803062558174,0.04793450981378555,-0.0038024953100830317,200.04408264160156,36.71256227099026
s29-50mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-50mm_attempt002\events.out.tfevents.1785457773.Allenzjx.94332.0,Reward / Instantaneous reward (min),1200,0.010382214561104774,-0.1482079178094864,-200.0367431640625,0.010382214561104774,-41.74476977748176
s29-50mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-50mm_attempt002\events.out.tfevents.1785457773.Allenzjx.94332.0,Reward / Instantaneous reward (mean),1200,0.019251681864261627,0.0020378290209919214,-0.5266326069831848,0.6505246758460999,0.0001591645494651554
s29-50mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-50mm_attempt002\events.out.tfevents.1785457773.Allenzjx.94332.0,Loss / Policy loss,1200,-0.02082584798336029,0.0041506653651595116,-0.2206825315952301,0.13018523156642914,0.00018710468871177
s29-50mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-50mm_attempt002\events.out.tfevents.1785457773.Allenzjx.94332.0,Loss / Value loss,1200,0.0505501851439476,0.00027785106794908643,0.000027941405278397724,0.8579963445663452,0.005622007951054305
s29-50mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-50mm_attempt002\events.out.tfevents.1785457773.Allenzjx.94332.0,Policy / Standard deviation,1200,0.018313810229301453,0.01797221414744854,0.01797221414744854,0.018313810229301453,0.017979264787087838
s29-50mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-50mm_attempt002\events.out.tfevents.1785457773.Allenzjx.94332.0,Learning / Learning rate,1200,0.00003950617247028276,0.00019999999494757503,0.00001170553241536254,0.0003000000142492354,0.00009215896986158138
s29-50mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-50mm_attempt002\events.out.tfevents.1785457773.Allenzjx.94332.0,Stats / Algorithm update time (ms),1200,70.89567565917969,25.493144989013672,16.012907028198242,201.568359375,39.863792991638185
