time_s,env_id,base_x_m,pitch_rad,pitch_rate_rad_s,margin_m,fsm_phase,action_l2,reward
30.15,0,0.2682977318763733,-0.021888751536607742,-0.05086874961853027,0.3267986476421356,4.0,0.0,0.21578572690486908
30.2,0,0.26831457018852234,-0.02208542823791504,-0.044289730489254,0.32752421498298645,4.0,0.0,0.21099276840686798
30.25,0,0.2683359980583191,-0.022332003340125084,-0.04017015919089317,0.2985197901725769,4.0,0.0,0.21880795061588287
30.3,0,0.26832783222198486,-0.02220276929438114,-0.03905497118830681,0.29885393381118774,4.0,0.0,0.22246049344539642
30.349999999999998,0,0.26829642057418823,-0.021999629214406013,-0.03960767388343811,0.29897916316986084,4.0,0.0,0.4730658233165741
30.4,0,0.2682690918445587,-0.021892735734581947,-0.04013069346547127,0.2989567518234253,4.0,0.0,0.4733216166496277
30.45,0,0.2682441771030426,-0.02177206426858902,-0.04242448881268501,0.29884469509124756,4.0,0.0,0.4722733199596405
30.5,0,0.268218070268631,-0.021663203835487366,-0.04439299553632736,0.32823604345321655,4.0,0.0,0.4728226065635681
30.55,0,0.26893484592437744,-0.025208769366145134,-0.06757969409227371,0.3285241723060608,4.0,0.0,0.4449176788330078
30.599999999999998,0,0.2694128155708313,-0.027882616966962814,-0.027221933007240295,0.32872772216796875,4.0,0.0,0.4659315049648285
30.65,0,0.26940858364105225,-0.028162406757473946,0.005320882890373468,0.32873502373695374,4.0,0.0,0.469489723443985
30.7,0,0.26917576789855957,-0.02690744772553444,0.028984881937503815,0.3286685049533844,4.0,0.0,0.46877866983413696
30.75,0,0.268974632024765,-0.025323163717985153,-0.024688124656677246,0.32861849665641785,4.0,0.0,0.47149646282196045
30.8,0,0.2688320577144623,-0.024434242397546768,-0.034087542444467545,0.32862016558647156,4.0,0.0,0.4718184769153595
30.849999999999998,0,0.2687341272830963,-0.02390640415251255,-0.03907237574458122,0.3286271095275879,4.0,0.0,0.4719472825527191
30.9,0,0.2692529261112213,-0.023471152409911156,-0.04399631544947624,0.32854366302490234,4.0,0.0,0.4619896113872528
30.95,0,0.2698585093021393,-0.023269524797797203,-0.04105449467897415,0.328482449054718,4.0,0.0,0.4572373330593109
31.0,0,0.270509272813797,-0.02322564087808132,-0.037892717868089676,0.32843753695487976,4.0,0.0,0.4574408531188965
31.05,0,0.27117839455604553,-0.02322382479906082,-0.04854672774672508,0.32839348912239075,4.0,0.0,0.46035197377204895
31.099999999999998,0,0.2718420624732971,-0.02327001839876175,-0.04844127222895622,0.3283509612083435,4.0,0.0,0.4604864716529846
